iter	Passed	Remaining
792	2071	540
793	2074	538
794	2077	535
795	2080	533
796	2084	530
797	2086	528
798	2089	525
799	2092	523
800	2095	520
801	2098	518
802	2101	515
803	2104	512
804	2107	510
805	2109	507
806	2112	505
807	2114	502
808	2117	499
809	2119	497
810	2122	494
811	2125	492
812	2127	489
813	2130	486
814	2132	484
815	2135	481
816	2138	478
817	2140	476
818	2143	473
819	2145	471
820	2148	468
821	2150	465
822	2153	463
823	2155	460
824	2158	457
825	2160	455
826	2163	452
827	2165	449
828	2168	447
829	2170	444
830	2173	442
831	2176	439
832	2178	436
833	2181	434
834	2183	431
835	2186	428
836	2188	426
837	2191	423
838	2194	421
839	2196	418
840	2199	415
841	2202	413
842	2205	410
843	2208	408
844	2210	405
845	2213	403
846	2216	400
847	2219	397
848	2221	395
849	2224	392
850	2226	389
851	2229	387
852	2231	384
853	2234	381
854	2236	379
855	2238	376
856	2241	373
857	2243	371
858	2246	368
859	2248	366
860	2251	363
861	2254	360
862	2256	358
863	2259	355
864	2261	352
865	2263	350
866	2266	347
867	2268	345
868	2271	342
869	2273	339
870	2276	337
871	2278	334
872	2281	331
873	2284	329
874	2287	326
875	2290	324
876	2293	321
877	2296	319
878	2298	316
879	2301	313
880	2304	311
881	2307	308
882	2309	306
883	2312	303
884	2314	300
885	2316	298
886	2319	295
887	2321	292
888	2324	290
889	2326	287
890	2328	284
891	2331	282
892	2333	279
893	2336	276
894	2338	274
895	2341	271
896	2343	269
897	2346	266
898	2348	263
899	2350	261
900	2353	258
901	2355	255
902	2358	253
903	2360	250
904	2363	248
905	2365	245
906	2368	242
907	2370	240
908	2372	237
909	2375	234
910	2378	232
911	2380	229
912	2382	227
913	2385	224
914	2387	221
915	2389	219
916	2392	216
917	2394	213
918	2397	211
919	2399	208
920	2402	206
921	2404	203
922	2407	200
923	2409	198
924	2411	195
925	2414	192
926	2416	190
927	2419	187
928	2421	185
929	2424	182
930	2426	179
931	2429	177
932	2431	174
933	2434	172
934	2437	169
935	2439	166
936	2442	164
937	2444	161
938	2448	159
939	2450	156
940	2453	153
941	2456	151
942	2459	148
943	2461	146
944	2464	143
945	2467	140
946	2491	139
947	2494	136
948	2497	134
949	2499	131
950	2502	128
951	2505	126
952	2507	123
953	2510	121
954	2512	118
955	2515	115
956	2518	113
957	2521	110
958	2523	107
959	2526	105
960	2528	102
961	2531	99
962	2534	97
963	2536	94
964	2539	92
965	2541	89
966	2544	86
967	2546	84
968	2549	81
969	2552	78
970	2554	76
971	2557	73
972	2560	71
973	2562	68
974	2565	65
975	2568	63
976	2570	60
977	2573	57
978	2575	55
979	2578	52
980	2581	49
981	2583	47
982	2585	44
983	2588	42
984	2590	39
985	2593	36
986	2596	34
987	2598	31
988	2600	28
989	2603	26
990	2605	23
991	2608	21
992	2610	18
993	2613	15
994	2616	13
995	2618	10
996	2621	7
997	2623	5
998	2626	2
999	2629	0
